model,experiment,status
lightgcn,static_baseline,success
lightgcn,static_solution,success
lightgcn,dynamic_baseline,success
lightgcn,dynamic_solution,success
simgcl,static_baseline,success
simgcl,static_solution,success
simgcl,dynamic_baseline,success
simgcl,dynamic_solution,success
ngcf,static_baseline,success
ngcf,static_solution,success
ngcf,dynamic_baseline,success
ngcf,dynamic_solution,success
sgl,static_baseline,success
sgl,static_solution,success
sgl,dynamic_baseline,success
sgl,dynamic_solution,success
exposure_dro,static_baseline,success
exposure_dro,static_solution,success
exposure_dro,dynamic_baseline,success
exposure_dro,dynamic_solution,success
pdif,static_baseline,success
pdif,static_solution,success
pdif,dynamic_baseline,success
pdif,dynamic_solution,success
